id,Nhóm gói,Tên gói,Giá,Giới thiệu gói khám,Dịch vụ trong gói,Điều kiện và điều khoản,Chuẩn bị trước tầm soát,Link
package_goi-kham-tong-quat-nhi-tieu-chuan-be-tu-2-tuoi,Khám trẻ em,Gói khám tổng quát Nhi tiêu chuẩn (bé từ 2 tuổi trở lên),3500000,"Gói khám tổng quát Nhi tiêu chuẩn dành cho bé từ 2 tuổi trở lên tại Hạnh Phúc giúp ba mẹ theo dõi toàn diện sự phát triển thể chất, tinh thần và sức khỏe tổng quát của bé, đồng thời phát hiện sớm các vấn đề tiềm ẩn để can thiệp kịp thời.","Khám tim – phổi | Khám da liễu | Khám Tai – Mũi – Họng cơ bản | Khám Răng – Hàm – Mặt cơ bản | Khám Mắt cơ bản | Đánh giá tăng trưởng (BMI & bảng WHO/CDC) | Sàng lọc phát triển ASQ-3 | Công thức máu (CBC) | Vi chất cơ bản (Sắt, Canxi, Ferritin, Vitamin D) | Đường huyết lúc đói | Chức năng gan cơ bản (AST/ALT) | Chức năng thận (Ure / Creatinin) | Tầm soát Viêm gan B (HBsAg, Anti-HBs) | Tổng phân tích nước tiểu | Siêu âm bụng",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-tong-quat-nhi-tieu-chuan-be-tu-2-tuoi/
package_goi-kham-tong-quat-nhi-chuyen-sau-be-tu-2-tuoi,Khám trẻ em,Gói khám tổng quát Nhi chuyên sâu (bé từ 2 tuổi trở lên),7200000,"Gói khám tổng quát Nhi chuyên sâu dành cho bé từ 2 tuổi trở lên tại Hạnh Phúc giúp ba mẹ theo dõi toàn diện sự phát triển thể chất, tinh thần và sức khỏe tổng quát của bé, đồng thời phát hiện sớm các vấn đề tiềm ẩn để can thiệp kịp thời.","Khám tim – phổi | Khám da liễu | Khám Tai – Mũi – Họng chuyên khoa | Khám Răng – Hàm – Mặt chuyên khoa | Khám Mắt chuyên khoa | Đánh giá tăng trưởng (BMI & bảng WHO/CDC) | Sàng lọc phát triển ASQ-3 | Sàng lọc tâm lý (chậm phát triển / ASD / ADHD) | Công thức máu (CBC) | Vi chất cơ bản (Sắt, Canxi, Ferritin, Vitamin D) | Vi chất mở rộng (Kẽm, Folate, Mg, Vitamin B12) | Đường huyết lúc đói | Albumin | Chức năng gan cơ bản (AST/ALT) | Chức năng gan nâng cao + đông máu | Chức năng thận (Ure / Creatinin) | Điện giải đồ | Tầm soát Viêm gan B (HBsAg, Anti-HBs) | Mỡ máu (Cholesterol, TG, HDL, LDL) | Tổng phân tích nước tiểu | Siêu âm bụng",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-tong-quat-nhi-chuyen-sau-be-tu-2-tuoi/
package_goi-kham-suy-dinh-duong,Khám trẻ em,Gói khám suy dinh dưỡng,4330000,"Hạnh Phúc mang đến gói khám suy dinh dưỡng được thiết lập cá nhân hóa cho từng trẻ, đảm bảo cân nặng và sức khỏe của trẻ được duy trì ở mức cân đối và phù hợp với độ tuổi","3 lần tư vấn dinh dưỡng | Tổng phân tích tế bào máu | Ferritin máu | AST, ALT, urea, creatinine Sắt, kẽm, vitamin B12, prealbumin, Magne, vitamin D, Canxi | Siêu âm bụng tổng quát | Soi phân | Máu ẩn trong phân",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-suy-dinh-duong/
package_goi-kham-thua-can-beo-phi,Khám trẻ em,Gói khám thừa cân – béo phì,3600000,Gói khám thừa cân – béo phì tại Hạnh Phúc sẽ đưa ra kế hoạch chăm sóc cá nhân hóa riêng cho từng bé với 3 lần tư vấn trực tiếp cùng bác sĩ Dinh Dưỡng để hỗ trợ trẻ kiểm soát cân nặng một cách an toàn.,"3 lần tư vấn dinh dưỡng | Tổng phân tích tế bào máu | Ferritin máu | AST, ALT, urea, creatinine | Bộ cholesterol máu | Đường huyết lúc đói | Siêu âm bụng tổng quát | Tổng phân tích nước tiểu | Soi phân | Máu ẩn trong phân",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-thua-can-beo-phi/
package_goi-kiem-tra-suc-khoe-cho-phu-nu-man-kinh,Sức khỏe phụ nữ,Gói kiểm tra sức khỏe cho phụ nữ mãn kinh,3330000,"Khám sức khỏe phụ nữ tiền mãn kinh giúp phát hiện sớm các thay đổi hormone, mật độ xương, và các dấu hiệu ung thư. Điều này hỗ trợ chẩn đoán, điều trị kịp thời và tư vấn dinh dưỡng phù hợp, bảo vệ sức khỏe lâu dài.","Xét nghiệm nồng độ nội tiết tố nữ (FSH, Estradiol (E2), LH, Progesterone) | Xét nghiệm nồng độ Canxi Và Magie | Xét nghiệm định lượng Vitamin D (25-oh Vitamin D3/D2) | Xét nghiệm CA-125 (chỉ dấu ung thư buồng trứng) | Xét nghiệm CA-15.3 (chỉ dấu ung thư vú) | Đo mật độ xương | Tư vấn dinh dưỡng cá nhân (45 phút)",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kiem-tra-suc-khoe-cho-phu-nu-man-kinh/
package_goi-kiem-tra-suc-khoe-toan-dien-cho-nu,Sức khỏe phụ nữ,Gói kiểm tra sức khỏe toàn diện cho nữ,8880000,"Gói khám sức khỏe toàn diện cho nữ mang lại nhiều lợi ích như phát hiện sớm các bệnh tiềm ẩn, đánh giá tình trạng hormone và mật độ xương, tầm soát ung thư, và tư vấn dinh dưỡng. Nhờ đó, phụ nữ có thể chủ động bảo vệ sức khỏe, phòng ngừa bệnh tật và nâng cao chất lượng cuộc sống.","TƯ VẤN | KHÁM NỘI TỔNG QUÁT | KHÁM SẢN PHỤ KHOA | KHÁM TAI-MŨI-HỌNG | XÉT NGHIỆM | CÔNG THỨC MÁU + PHẾT MÁU NGOẠI BIÊN | ĐƯỜNG HUYẾT LÚC ĐÓI | HBA1C | BỘ XÉT NGHIỆM CHỨC NĂNG THẬN | AST (SGOT), ALT (SGPT), GGT | CHOLESTEROL TOÀN PHẦN, CHOLESTEROL TỶ TRỌNG CAO (HDL) | TRIGLYCERIDE | ACID URIC TRONG MÁU | HORMONE KÍCH THÍCH TUYẾN GIÁP (TSH), T4 TỰ DO | TỔNG PHÂN TÍCH NƯỚC TIỂU | VIÊM GAN SIÊU VI B KHÁNG THỂ BỀ MẶT (HBSAB), HBSAG (ĐỊNH LƯỢNG) | VIÊM GAN SIÊU VI B KHÁNG THỂ LÕI TOÀN PHẦN (HBCAB) | VIÊM GAN SIÊU VI C KHÁNG THỂ | XÉT NGHIỆM TẾ BÀO HỌC BẰNG PHƯƠNG PHÁP LIQUI-PREP | CHẨN ĐOÁN HÌNH ẢNH | SOI CỔ TỬ CUNG | NỘI SOI TAI MŨI HỌNG | CHỤP PHỔI THẲNG | SIÊU ÂM VÙNG BỤNG | SIÊU ÂM VÙNG CHẬU | SIÊU ÂM VÚ | CHỤP NHŨ ẢNH | SIÊU ÂM TUYẾN GIÁP | ĐO ĐIỆN TÂM ĐỒ | ĐO MẬT ĐỘ XƯƠNG",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kiem-tra-suc-khoe-toan-dien-cho-nu/
package_hanh-phuc-cat-tuong-sinh-thuong,Sinh,Hạnh Phúc Cát Tường (Sinh thường),39900000,,"Phòng sinh | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Theo dõi tim thai | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn – 3 ngày | Bác sĩ sản phụ khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Khám hậu sản cho mẹ | Điều dưỡng chăm sóc cho mẹ | Tắm bé: 1 lần/ngày. Khách ở lại thêm ngoài gói có yêu cầu tắm bé sẽ tính phí. | Chăm sóc em bé 12 giờ/ngày tại phòng dưỡng nhi từ 19:00h đến 07:00h | Tắm bé, chăm sóc rốn, tiêm vắc-xin BCG (phòng lao), viêm gan B và vitamin K cho bé | Các dịch vụ trong gói An Nhiên | Gói tầm soát 73 bệnh cho trẻ sơ sinh | Massage cho bé | Chiếu tia Plasma lạnh | Gói Spa cho mẹ: 1 buổi gội đầu thảo dược | Tầm soát thính lực cho bé",,,https://www.hanhphuchospital.com/package/hanh-phuc-cat-tuong-sinh-thuong/
package_hanh-phuc-cat-tuong-sinh-mo,Sinh,Hạnh Phúc Cát Tường (Sinh mổ),49900000,,"Phòng phẫu thuật | Điều dưỡng phòng phẫu thuật | Kỹ thuật viên gây mê | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn | Thời gian: 4 ngày | Bác sĩ sản phụ khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Khám hậu sản cho mẹ | Điều dưỡng chăm sóc cho mẹ | Điều dưỡng chăm sóc bé bao gồm: | Tắm bé: 1 lần/ngày. Khách ở lại thêm ngoài gói có yêu cầu tắm bé sẽ tính phí. | Chăm sóc em bé 12 giờ/ngày tại phòng dưỡng nhi từ 19:00h đến 07:00h | Tắm bé, chăm sóc rốn, tiêm vắc-xin BCG (phòng lao), viêm gan B và vitamin K cho bé | Cho bé: 1 bộ áo sơ sinh, bao tay chân, 1 bịch tã, 1 hộp khăn giấy ướt | Cho mẹ: 1 bịch quần lót giấy, 1 bịch băng vệ sinh | Gói tầm soát 73 bệnh cho trẻ sơ sinh | Tầm soát thính lực cho bé | Massage cho bé | Chiếu tia Plasma lạnh | Gói Spa cho mẹ: 1 buổi gội đầu thảo dược",,,https://www.hanhphuchospital.com/package/hanh-phuc-cat-tuong-sinh-mo/
package_hanh-phuc-tam-an-sinh-thuong,Sinh,Hạnh Phúc An Nhiên (Sinh thường),29900000,,"Phòng sinh | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Theo dõi tim thai | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn – 3 ngày | Bác sĩ sản phụ khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Khám hậu sản cho mẹ | Điều dưỡng chăm sóc cho mẹ | Điều dưỡng chăm sóc bé bao gồm: | Tắm bé: 1 lần/ngày. Khách ở lại thêm ngoài gói có yêu cầu tắm bé sẽ tính phí. | Tắm bé, chăm sóc rốn, tiêm vắc-xin BCG (phòng lao), viêm gan B và vitamin K cho bé | Cho bé: 1 bộ áo sơ sinh, bao tay chân, 1 bịch tã, 1 hộp khăn giấy ướt | Cho mẹ: 1 bịch quần lót giấy, 1 bịch băng vệ sinh",,,https://www.hanhphuchospital.com/package/hanh-phuc-tam-an-sinh-thuong/
package_hanh-phuc-tam-an-sinh-mo,Sinh,Hạnh Phúc An Nhiên (Sinh mổ),39900000,,"Phòng phẫu thuật | Điều dưỡng phòng phẫu thuật | Kỹ thuật viên gây mê | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn | Thời gian: 4 ngày | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ Dinh Dưỡng khám & tư vấn dinh dưỡng (cho mẹ và Bé) 01 lần/gói | Điều dưỡng chăm sóc cho mẹ | Điều dưỡng chăm sóc bé bao gồm: | Tắm bé: 01 lần/ngày. Khách ở lại thêm ngoài gói có yêu cầu tắm bé sẽ tính phí. | Tắm bé, chăm sóc rốn, tiêm vắc-xin BCG (phòng lao), viêm gan B và vitamin K cho bé",,,https://www.hanhphuchospital.com/package/hanh-phuc-tam-an-sinh-mo/
package_hanh-phuc-nhu-y-sinh-mo,Sinh,Hạnh Phúc Như Ý (Sinh mổ),69900000,,"Phòng phẫu thuật | Điều dưỡng phòng phẫu thuật | Kỹ thuật viên gây mê | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn – 4 ngày | Bác sĩ sản phụ khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Khám hậu sản cho mẹ | Điều dưỡng chăm sóc cho mẹ | Điều dưỡng chăm sóc bé | Cho bé: 1 bộ áo sơ sinh, bao tay chân, 1 bịch tã, 1 hộp khăn giấy ướt | Cho mẹ: 1 bịch quần lót giấy, 1 bịch băng vệ sinh | Các dịch vụ trong gói Cát Tường | Siêu âm tim sơ sinh (tầm soát) | Nghỉ dưỡng 02 ngày theo tiêu chuẩn Ở cữ Hạnh Phúc | Quay phim “Hành Trình Hạnh Phúc” | Tư vấn dinh dưỡng cho mẹ và bé | Đo vàng da cho bé | Check-in ưu tiên | Siêu âm bụng tổng quát cho mẹ | Set quà tặng “Đón bé Như Ý” | Massage cổ vai gáy với túi thảo dược (45 phút)",,,https://www.hanhphuchospital.com/package/hanh-phuc-nhu-y-sinh-mo/
